Identyfikator podmiotu,Imię,Nazwisko,Numer telefonu
1,ŁUKASZ,MACEDOŃSKI,858011897,
2,JADWIGA,MICIUN,605393203,
3,ROZALIA,MACEDOŃSKI,549290950,
4,BRAJAN,AMSTERDAMSKI,412695060,
5,PATRYK,AMSTERDAMSKI,208942223,
6,TYMON,PRUSKI,707684787,
7,KRYSTYNA,SIKORA,218013742,
8,LECH,ŻYDZIK,961734050,
9,KAROL,LITWINIUK,823969807,
10,IZABELA,ROSJAN,625398531,
11,KAROL,CZESKI,488178959,
12,JAN,PRUSEK,592394638,
13,LECH,GOROL,976972974,
14,BARTOSZ,SIKORA,252728788,
15,DOROTA,GALOCH,743726845,
16,JAN,SASS,758257439,
17,KRYSTYNA,PRUSAK,144899437,
18,DANUTA,WESOŁOWSKI,369377066,
19,BENEDYKT,SZWEDOWSKI,253670612,
20,PATRYK,ŚLĄZAK,806014679,
21,OLIWIA,FOGIEL,399097400,
22,JAROSŁAW,KASZUBA,952091336,
23,PATRYK,CZECH,664332777,
24,ŁUKASZ,RUSIN,914486385,
25,DANUTA,KOZŁOWSKI,741614223,
26,WALDEMAR,MAJEWSKI,501218503,
27,DAWID,MAJEWSKI,947210465,
28,JADWIGA,SAKSON,267938911,
29,TYMON,WIŚNIEWSKI,431022212,
30,ŁUCJA,AUSTRIJAK,215560954,
31,PIOTR,TATARZYN,542292489,
32,JAN,WDOWIAK,571885911,
33,KAROLINA,TATARCZUK,612159793,
34,MARTYNA,DUŃCZYK,253579641,
35,JAROSŁAW,KĘDZIERSKI,935148029,
36,JANUSZ,KRAWCZYK,357754187,
37,MATEUSZ,MACEDOŃSKI,812295724,
38,DANUTA,HOFFMANN,396302567,
39,PAWEL,GAWROŃSKI,995561999,
40,DONALD,BÖHM,110596224,
41,IZABELA,ŁOTYSZ,895890608,
42,LECH,KWIECIEŃ,590416292,
43,OLIWIER,POLOCZEK,651020602,
44,KRYSTYNA,KUMAN,183659606,
45,BARBARA,SIERADZKI,638221371,
46,ALEKANDRA,NIEWIADOMSKI,907465314,
47,PATRYK,POLESKI,749827019,
48,JANUSZ,DOBRUCKI,665874142,
49,PATRYK,HALICKI,669680732,
50,KAMIL,PETERSBURSKI,630016337,
51,MACIEJ,ŻMUDA,517545677,
52,MATEUSZ,KURLAND,695367025,
53,WALDEMAR,SZWAJCAR,795302858,
54,KAMIL,GAL,855928514,
55,PATRYK,WOŁOCH,928303341,
56,AGATA,CIEŚLAK,836932653,
57,IZABELA,WĘGIER,874329405,
58,MICHAŁ,KURUC,702481911,
59,JAN,KOMAN,253269650,
60,WALDEMAR,BÖHM,723772372,
61,JAKUB,KACZMAREK,334511398,
62,MACIEJ,RYBICKI,267692172,
63,BENEDYKT,KĘDZIERSKI,728219549,
64,OLIWIA,SAS,276902140,
65,DANUTA,SKIBA,374780832,
66,WOJCIECH,SZWEDOWSKI,494571113,
67,LAURA,NOWAK,177795356,
68,KAROLINA,ARABOWICZ,685182334,
69,ALEKANDRA,WIŚNIEWSKI,397341167,
70,DAWID,NIEDZIELSKI,206706468,
71,PATRYK,MAZUR,792720547,
72,JADWIGA,POTOK,714629917,
73,KAMIL,POLACZEK,132270465,
74,KRZYSZTOF,ŻMIJEWSKA,995836870,
75,MAREK,TATARCZAK,702000244,
76,WERONIKA,FRANCUZ,856279278,
77,BARBARA,MILLER,482812007,
78,JAKUB,WŁOCH,939647107,
79,BENEDYKT,SZLĄZAK,287976510,
80,ANETA,ARABSKI,221486721,
81,LAURA,WĘGRZYN,620072335,
82,MARTYNA,CICHOCKI,331992022,
83,WERONIKA,HALICKI,384275102,
84,KAMIL,SASS,816460644,
85,ALICJA,UKRAINIEC,640642862,
86,ALEKANDRA,ŻOCHOWSKI,683124826,
87,BARBARA,BRANDENBURG,904042940,
88,TOMASZ,MILLER,655454515,
89,JAKUB,KOWALSKI,625814838,
90,TYMON,CZESKI,927914345,
91,MARIUSZ,ŻOCHOWSKI,195366042,
92,MAREK,TATARCZUK,710247224,
93,KAROLINA,KĘDZIERSKI,304307583,
94,WALDEMAR,DUŃCZYK,820459014,
95,JOLANTA,SZWEDZIAK,236673907,
96,MARTA,SZWAJCER,690997342,
97,BARBARA,DĄBROWSKI,496104011,
98,DONALD,CZARNECKI,258417960,
99,IZABELA,ŻYDZIK,737137947,
100,AGATA,NOWAK,754630262,
101,KRZYSZTOF,DUDA,342813323,
102,BENEDYKT,POLAK,180057194,
103,MATEUSZ,POMORSKI,649720601,
104,BARTOSZ,KĘDZIERSKI,379522382,
105,PIOTR,MAŁECKI,912301220,
106,BENEDYKT,KIJOWSKI,355518020,
107,GERARD,PODOLEC,829872523,
108,PATRYCJA,UKRAINIEC,325268265,
109,DONALD,SZLĄZAK,611738256,
110,DOMINIK,FOGIEL,971916453,
111,KRYSTYNA,KRAJEWSKI,907699716,
112,BENEDYKT,SASIN,353765759,
113,DOMINIKA,SZWEDA,931268685,
114,ANETA,WDOWIAK,694381367,
115,IZABELA,ŚLĄZAK,902217654,
116,MARTA,OLENDER,871240715,
117,MARTA,WIECZOREK,610933904,
118,MARTYNA,LAMPARSKA,861469746,
119,TYMON,SZWEDA,393496254,
120,ARTUR,SŁOWAKIEWICZ,378599286,
121,LECH,PRUSEK,814602204,
122,DOMINIK,KURLANDT,477671941,
123,IZABELA,SZWED,138749591,
124,DAWID,TATARCZAK,603790736,
125,MAREK,WIECZOREK,590244622,
126,PAWEL,TOPOLSKI,341232326,
127,MACIEJ,MAZUREK,473592722,
128,PRZEMYSLAW,BRANDENBURGER,894148129,
129,LECH,RUSNAK,245244270,
130,DOMINIKA,GALIŃSKI,720652127,
131,ŁUKASZ,RUS,639585171,
132,DAWID,TUREK,416645072,
133,ALICJA,POLOK,298850684,
134,DONALD,TATARZYN,259063420,
135,JADWIGA,PODOLSKI,556765397,
136,KAMILA,PODOLAK,886376880,
137,JACEK,MILLER,268406496,
138,ŁUKASZ,LANGE,300950822,
139,LECH,MAZURKIEWICZ,448092508,
140,DAMIAN,MORAWSKI,176914151,
141,DAMIAN,LANGE,230585752,
142,MICHAŁ,KURLANDZKI,903738133,
143,DANUTA,MAZUREK,779684575,
144,DOMINIK,FRANCUZ,934644289,
